Name		age	Points	Rebound	Steals	Blocks	PF
Oladipo		25	23	2	3	0	1
Richardson	24	10	3	2	0	0
Beal		24	14	3	2	0	2
George		27	16	2	1	1	2
Lillard		27	24	7	3	0	1
James		33	37	10	1	0	3
Young		32	9	3	1	0	3
Antetokounmpo	23	25	10	1	0	3
Bogdanovic	28	18	8	0	0	1
McCollum	26	34	4	1	0	2
Lowry		32	11	6	1	0	3
Prince		24	28	6	2	0	0
Hill		31	17	4	2	1	2
Middleton	26	19	7	2	1	2
Young		29	22	9	5	3	5
Westbrook	29	23	8	4	0	6
Adams		24	18	10	0	2	2
Satoransky	26	9	4	3	1	4
Dragic		31	9	4	2	0	4
Rozier		24	33	5	5	0	1
Hardaway 	26	11	4	3	0	1
Cook		25	17	4	1	1	1
Williams	31	26	2	1	1	1
Rivers		25	11	1	4	0	2
Bogdanovic	25	4	1	3	0	2
